"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Kulcsszó alapján való keresés tesztelése","1239","DisHub Keyword search","POM.test","Sun Feb 01 19:44:30 UTC 2026","passed","Sun Feb 01 19:44:31 UTC 2026","TestAuthenticationPage","test_keyword_search","",""
"A belépés tesztelése","5549","DisHub Standard Login","POM.test","Sun Feb 01 19:44:39 UTC 2026","broken","Sun Feb 01 19:44:45 UTC 2026","TestAuthenticationPage","test_login","",""
"","5771","test_search_capital_keyword","POM.test","Sun Feb 01 19:44:31 UTC 2026","broken","Sun Feb 01 19:44:37 UTC 2026","TestAuthenticationPage","test_keyword_search","",""
