"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"A belépés tesztelése","0","DisHub Standard Login","POM.test","Sun Feb 01 19:32:31 UTC 2026","broken","Sun Feb 01 19:32:31 UTC 2026","TestAuthenticationPage","test_login","",""
"","5869","test_search_capital_keyword","POM.test","Sun Feb 01 19:32:25 UTC 2026","broken","Sun Feb 01 19:32:31 UTC 2026","TestAuthenticationPage","test_keyword_search","",""
"Kulcsszó alapján való keresés tesztelése","2068","DisHub Keyword search","POM.test","Sun Feb 01 19:32:22 UTC 2026","passed","Sun Feb 01 19:32:24 UTC 2026","TestAuthenticationPage","test_keyword_search","",""
