"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Kulcsszó alapján való keresés tesztelése","1349","DisHub Keyword search","POM.test","Sun Feb 01 20:00:46 UTC 2026","passed","Sun Feb 01 20:00:47 UTC 2026","TestAuthenticationPage","test_keyword_search","",""
"A belépés tesztelése","6024","DisHub Standard Login","POM.test","Sun Feb 01 20:00:55 UTC 2026","broken","Sun Feb 01 20:01:01 UTC 2026","TestAuthenticationPage","test_login","",""
"","5945","test_search_capital_keyword","POM.test","Sun Feb 01 20:00:47 UTC 2026","broken","Sun Feb 01 20:00:53 UTC 2026","TestAuthenticationPage","test_keyword_search","",""
