"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10619","test_search_capital_keyword","POM.test","Sun Feb 01 19:24:47 UTC 2026","broken","Sun Feb 01 19:24:58 UTC 2026","TestAuthenticationPage","test_keyword_search","",""
"A belépés tesztelése","0","DisHub Standard Login","POM.test","Sun Feb 01 19:24:58 UTC 2026","broken","Sun Feb 01 19:24:58 UTC 2026","TestAuthenticationPage","test_login","",""
"Kulcsszó alapján való keresés tesztelése","1209","DisHub Keyword search","POM.test","Sun Feb 01 19:24:46 UTC 2026","passed","Sun Feb 01 19:24:47 UTC 2026","TestAuthenticationPage","test_keyword_search","",""
