"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"A belépés tesztelése","0","DisHub Standard Login","POM.test","Sun Feb 01 20:33:23 UTC 2026","broken","Sun Feb 01 20:33:23 UTC 2026","TestAuthenticationPage","test_login","",""
"Kulcsszó alapján való keresés tesztelése","0","DisHub Keyword search","POM.test","Sun Feb 01 20:33:19 UTC 2026","broken","Sun Feb 01 20:33:19 UTC 2026","TestAuthenticationPage","test_keyword_search","",""
"","0","test_search_capital_keyword","POM.test","Sun Feb 01 20:33:22 UTC 2026","broken","Sun Feb 01 20:33:22 UTC 2026","TestAuthenticationPage","test_keyword_search","",""
