"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Kulcsszó alapján való keresés tesztelése","1814","DisHub Keyword search","POM.test","Sun Feb 01 15:00:29 UTC 2026","passed","Sun Feb 01 15:00:31 UTC 2026","TestAuthenticationPage","test_keyword_search","",""
"A belépés tesztelése","0","DisHub Standard Login","POM.test","Sun Feb 01 15:00:37 UTC 2026","broken","Sun Feb 01 15:00:37 UTC 2026","TestAuthenticationPage","test_login","",""
"","5834","test_search_capital_keyword","POM.test","Sun Feb 01 15:00:31 UTC 2026","broken","Sun Feb 01 15:00:37 UTC 2026","TestAuthenticationPage","test_keyword_search","",""
