"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"A belépés tesztelése","0","DisHub Standard Login","POM.test","Sun Feb 01 14:55:39 UTC 2026","broken","Sun Feb 01 14:55:39 UTC 2026","TestAuthenticationPage","test_login","",""
"","5816","test_search_capital_keyword","POM.test","Sun Feb 01 14:55:33 UTC 2026","broken","Sun Feb 01 14:55:39 UTC 2026","TestAuthenticationPage","test_keyword_search","",""
"Kulcsszó alapján való keresés tesztelése","2332","DisHub Keyword search","POM.test","Sun Feb 01 14:55:30 UTC 2026","passed","Sun Feb 01 14:55:32 UTC 2026","TestAuthenticationPage","test_keyword_search","",""
